f_id,i_id,precision,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ic.h.max,ic.eps.s,ic.eps.max,ic.eps.ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
1,1,2771.8108595961894,0.6931499999999999,0.74875,0.7980499999999999,0.8665,0.68695,0.74455,0.7968500000000001,0.8664499999999999,-77.7418,-63.661100000000005,-51.16295,-33.822050000000004,-79.4804,-64.86245,-51.566199999999995,-33.897800000000004,0.6769000000000001,74066035697.4071,33967496.23135,327213207.22265,9.700949999999999,0.77915,0.89735,4.7801,1.0,0.0838,0.049949999999999994,0.0757,1.6491,1.10735,0.6672,0.1552,0.0964,0.12695,1.6130499999999999,1.23255,0.7603,0.17835,0.12225,0.14305,1.4651,1.2290999999999999,0.8463,0.7363999999999999,0.65915,1.0,0.829,8.8338,89733158.1458,8.1932,0.54,0.1276,0.9676,0.1169,0.060950000000000004,-0.36695,0.9,0.9,0.0909,0.8182,0.12085,0.12085,1.0,0.16635
3,1,1.2592749953910243e-08,0.9641,0.9755,0.9754,0.97525,0.96715,0.9767,0.97595,0.9751,-9.0944,-6.2029499999999995,-6.222049999999999,-6.28045,-8.33575,-5.92195,-6.091749999999999,-6.3139,0.00875,394814333224.2125,56051391.80465,1029528141.4291501,17.285800000000002,0.71655,0.10245,71.5959,0.8221499999999999,0.1,0.0491,0.1,2.0356,1.0,0.49125,0.25,0.0769,0.08754999999999999,3.252,2.85525,0.85695,0.47655000000000003,0.0538,0.0327,8.91295,14.5696,1.6799,6.0809,54.60725,41.0,0.65955,10.6557,110448136.47745,8.954,0.55945,0.06714999999999999,0.94035,0.06425,0.0971,-0.1723,0.9,0.9,0.0909,0.9091,0.1217,0.1217,1.0,0.1118
4,1,0.022505836440132043,0.7080500000000001,0.7656000000000001,0.8145,0.8814,0.705,0.7637,0.81305,0.88075,-73.95845,-59.38495,-46.990449999999996,-30.0505,-74.84385,-59.98125,-47.45855,-30.257,0.5202,26999.807050000003,3.00495,129.2668,44.0673,0.7188,0.6976,5.65355,0.96495,0.0857,0.0565,0.07815,1.51275,1.0947,0.72885,0.15835,0.10195000000000001,0.1272,1.5525,1.2419,0.8006,0.20229999999999998,0.12874999999999998,0.15289999999999998,1.5709499999999998,1.31375,0.8304499999999999,1.912,5.94025,3.0,0.79615,2.8078,44.3248,1.9469,0.54115,0.10955000000000001,0.96455,0.09620000000000001,0.06484999999999999,-0.3253,0.9,0.9,0.0909,0.9091,0.1199,0.1199,0.9999,0.15955
5,1,15.919322221777009,0.7239,0.7784,0.81985,0.88245,0.7239,0.7783,0.81935,0.8826499999999999,-69.94775,-56.1426,-45.640150000000006,-29.7913,-70.0852,-56.27245,-45.84995,-29.79065,0.804,861.9232999999999,0.019549999999999998,1.2666,64.59309999999999,0.8388,0.93335,3.6608,0.9654,0.07644999999999999,0.05655,0.07105,1.35885,1.08385,0.7897000000000001,0.11845,0.08865,0.09709999999999999,1.3241999999999998,1.2064,0.9140999999999999,0.13165,0.09875,0.10300000000000001,1.3313,1.28565,0.9619500000000001,0.5463,-0.04765,1.0,0.8386,0.3654,0.3504,-0.2352,0.557,0.0993,0.958,0.09140000000000001,0.07285,-0.3595,0.9,0.9,0.8182,0.8182,0.12154999999999999,0.12154999999999999,0.35995,0.17515
6,1,0.08629349696553845,0.7503,0.80055,0.8392,0.89595,0.74885,0.7988,0.8389500000000001,0.8961,-63.26025,-50.53505,-40.73395,-26.36255,-63.72875,-51.0488,-40.858900000000006,-26.37895,0.4168,803.3824,0.035,0.35085,9.9153,0.42745,0.5903,12.15025,0.62455,0.0979,0.08604999999999999,0.0946,1.1353499999999999,1.0391,0.9073500000000001,0.2061,0.17895,0.19785,1.1589,1.0473,0.90605,0.27265,0.2429,0.26605,1.1243500000000002,1.0266,0.9095,0.44875,0.1822,1.0,0.8652,0.2452,0.2783,-0.3353,0.6306,0.07465,0.9407,0.06745000000000001,0.09195,-0.4825,0.9,0.9,0.9091,0.9091,0.12075,0.12075,0.15065,0.15235
7,1,26.60896791038124,0.61775,0.6811499999999999,0.7339,0.81545,0.6207,0.6851,0.73875,0.82025,-96.82745,-80.78030000000001,-67.39605,-46.75855,-96.28385,-79.9236,-66.2861,-45.62425,0.37534999999999996,1768.2966000000001,0.26095,1.8209499999999998,6.8183,0.3841,0.99395,1.0147499999999998,0.9941,0.10385,0.0818,0.10214999999999999,1.27165,1.016,0.7994,0.2345,0.1481,0.2121,1.569,1.1043500000000002,0.7001999999999999,0.28285,0.16649999999999998,0.26134999999999997,1.7257500000000001,1.0848,0.62925,0.43005,0.18835000000000002,1.0,0.84445,0.8659,1.2738,0.3453,0.5591999999999999,0.1369,0.97505,0.11810000000000001,0.05105,-0.46225000000000005,0.9,0.9,0.6364,0.9091,0.12035,0.12035,0.76355,0.14884999999999998
8,1,18.406704727144813,0.71255,0.75705,0.7988500000000001,0.8597,0.70995,0.75665,0.79855,0.86045,-72.82990000000001,-61.55485,-50.96425,-35.53985,-73.6266,-61.7937,-51.13935,-35.41305,0.3855,1070.0099500000001,0.02905,0.5292,17.59495,0.4949,0.7989,3.8874000000000004,0.90375,0.1019,0.0827,0.09875,1.2349999999999999,1.02605,0.84165,0.2274,0.1528,0.1882,1.4917500000000001,1.19585,0.80765,0.2784,0.17075,0.20385,1.6351499999999999,1.3559,0.8388,0.5556,0.22975,1.0,0.8524,0.2753,0.2914,-0.3153,0.5843,0.09165,0.95875,0.08135,0.07245,-0.44705,0.9,0.9,0.9091,0.9091,0.12029999999999999,0.12029999999999999,0.18445,0.1502
9,1,0.08952825041666301,0.73105,0.7836,0.8243499999999999,0.882,0.727,0.78135,0.8232,0.8813500000000001,-68.14085,-54.822,-44.490700000000004,-29.88785,-69.3126,-55.5143,-44.8787,-30.110799999999998,0.375,20553.2195,1.5083000000000002,93.66925,61.80715,0.4914,0.56545,3.50495,0.68275,0.1031,0.08915000000000001,0.10245,1.1598000000000002,1.0128,0.8735999999999999,0.23645,0.17830000000000001,0.2121,1.3155000000000001,1.1104,0.83735,0.2778,0.2224,0.25005,1.2337,1.101,0.895,1.5018500000000001,3.4078,2.0,0.8462,2.6276,42.3279,1.8869,0.62195,0.06695,0.9441,0.05935,0.0891,-0.41664999999999996,0.9,0.9,0.0909,0.9091,0.1205,0.1205,0.9998,0.14900000000000002
10,1,597.0845906217858,0.9793499999999999,0.98195,0.9892000000000001,0.9912,0.9796,0.982,0.9891,0.9908,-5.2388,-4.57235,-2.7342,-2.2305,-5.17265,-4.5624,-2.77165,-2.33415,0.035,5120.39415,0.06885,1.16705,17.947400000000002,0.042800000000000005,0.03855,20.9897,0.0566,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.2505,0.2504,0.998,0.9985,1.0005,0.4425,0.44205,0.4454,1.0021499999999999,0.9944,0.987,-0.005699999999999999,-0.06739999999999999,1.0,0.87015,1.4464,4.4223,0.8659,0.66415,0.048299999999999996,0.9135,0.04865,0.12145,-0.61255,0.9,0.9,0.0909,0.9091,0.12029999999999999,0.12029999999999999,0.92325,0.11285
11,1,21.889013407667903,0.8611,0.9248000000000001,0.9449000000000001,0.9548000000000001,0.86155,0.9240999999999999,0.9446,0.95475,-35.1814,-19.0476,-13.95795,-11.451699999999999,-35.128,-19.26665,-14.06145,-11.49,0.4964,1392078815.4578,84007.84325,28946826.7443,345.0316,0.6964,0.70615,504.06365000000005,0.9897,0.1,0.048549999999999996,0.1001,2.05925,0.9988,0.4844,0.3094,0.075,0.1383,4.07105,2.1883999999999997,0.53755,0.1262,0.10305,0.08954999999999999,1.2313999999999998,1.3905,1.1324,2.91535,9.39945,24.0,0.6421,8.013,363643.5679,6.4715,0.5547,0.06945,0.9448,0.06835,0.09035,-0.21025,0.9,0.9,0.0909,0.9091,0.1202,0.1202,1.0,0.15689999999999998
