f_id,i_id,precision,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ic.h.max,ic.eps.s,ic.eps.max,ic.eps.ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
1,1,2448.3767105723873,0.855,0.8786499999999999,0.8948,0.92675,0.8557,0.8774500000000001,0.8934,0.92555,-36.73835,-30.7373,-26.65305,-18.563899999999997,-36.6361,-31.10865,-27.0646,-18.8966,0.61715,9613203681.4357,252089.9693,67090257.3581,265.55055,0.90145,0.7178,193.19125,1.0,0.09895,0.035449999999999995,0.0835,2.7715,1.1971,0.4272,0.16685,0.06484999999999999,0.0634,2.5857,2.6420000000000003,1.00965,0.1812,0.08495,0.0698,2.1576,2.6140499999999998,1.2208,1.09285,1.3105,5.5,0.8048,8.1732,17069949.3404,7.4925,0.53195,0.0858,0.95325,0.0849,0.07965,-0.32695,0.9,0.9,0.0909,0.8182,0.1212,0.1212,1.0,0.16475
2,1,1279.2007720755223,0.66545,0.7277,0.7786,0.85505,0.6617999999999999,0.72805,0.7795,0.8563,-84.7621,-68.98955000000001,-56.09075,-36.724599999999995,-85.83915,-69.01945,-55.95375,-36.4792,0.59295,56443490526.149155,4465790.85785,279621288.866,62.905550000000005,0.67985,0.9161,51.8691,1.0,0.08885000000000001,0.0578,0.08305,1.5566,1.08345,0.6942999999999999,0.17495,0.1054,0.132,1.6347,1.3132000000000001,0.8039499999999999,0.2029,0.133,0.13690000000000002,1.5134500000000002,1.468,0.9727,0.6851,0.19825,1.0,0.82965,8.7538,74623028.9139,8.1131,0.544,0.12135,0.96885,0.11165,0.059,-0.38115,0.9,0.9,0.0909,0.8182,0.12090000000000001,0.12090000000000001,1.0,0.16355
3,1,251.38235599305415,0.9863999999999999,0.9823,0.9836,0.98445,0.9836,0.9803999999999999,0.98175,0.9828,-3.4534000000000002,-4.4891,-4.150650000000001,-3.944,-4.1722,-4.9685500000000005,-4.63045,-4.3642,0.01065,3378022724.93355,226701.0845,4899229.8312,20.476950000000002,0.7098,0.30835,255.7597,1.0,0.1,0.048350000000000004,0.1,2.0671999999999997,1.0,0.48375,0.25,0.07730000000000001,0.0861,3.2336,2.9052,0.90365,0.4786,0.0784,0.048299999999999996,6.10405,9.8473,1.647,1.51775,1.7800500000000001,17.0,0.75525,8.0531,7277416.17155,7.2322,0.56105,0.058300000000000005,0.9395,0.05985,0.09855,-0.3055,0.9,0.9,0.0909,0.9091,0.1197,0.1197,1.0,0.11025
4,1,34.78545558990734,0.7259,0.7854,0.8284,0.89035,0.72365,0.78335,0.8279,0.8895500000000001,-69.43735,-54.36715,-43.47065,-27.7782,-70.14,-54.9819,-43.684200000000004,-28.03295,0.4607,42601.9786,6.36845,223.82164999999998,35.616550000000004,0.646,0.71955,41.33125,0.97995,0.0744,0.045200000000000004,0.06655,1.65635,1.1229,0.6795,0.14645,0.08405,0.09695000000000001,1.73935,1.4885000000000002,0.85565,0.21184999999999998,0.1238,0.13075,1.69795,1.6205500000000002,0.96055,1.2872,1.89955,5.0,0.78855,2.988,73.5981,2.1672,0.5395,0.10235,0.96165,0.0945,0.06835,-0.35860000000000003,0.9,0.9,0.0909,0.9091,0.12029999999999999,0.12029999999999999,1.0,0.1545
5,1,19.999999778334995,0.9980500000000001,1.0021,0.9998,1.0006499999999998,0.9999,1.0018500000000001,0.99935,1.0006499999999998,-0.49724999999999997,0.53445,-0.0535,0.15994999999999998,-0.02635,0.4736,-0.16199999999999998,0.16135,-0.0002,521.6938,1.86255e-06,0.0001,31.0342,-0.0006,-0.00015000000000000001,30.284,-0.0010500000000000002,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.5017499999999999,0.5007,0.50215,0.9985999999999999,1.00015,1.0004,-0.6312,0.48124999999999996,1.0,0.86835,-1.977,0.0016,-2.5576,0.66595,0.0487,0.9117,0.05,0.1235,-0.6564,0.9,0.9,0.8182,0.9091,0.12005,0.12005,0.12005,0.10915
6,1,2.735658975884519,0.9056,0.9248000000000001,0.9383,0.95825,0.9049,0.9238999999999999,0.93725,0.9571000000000001,-23.9155,-19.0488,-15.6328,-10.5706,-24.13065,-19.30705,-15.912199999999999,-10.89705,0.08365,619.5372,0.0002,0.0082,36.91445,0.1739,0.17075,17.553649999999998,0.4196,0.1,0.1004,0.1,0.9963,1.0,1.0037,0.25065,0.24375000000000002,0.24830000000000002,1.0282499999999999,1.00955,0.979,0.4054,0.33130000000000004,0.3711,1.22335,1.0892499999999998,0.8907,0.01655,-0.0115,1.0,0.86375,-1.0761,0.0139,-1.6166,0.618,0.061149999999999996,0.9314,0.0683,0.10335,-0.554,0.9,0.9,0.8182,0.9091,0.12004999999999999,0.12004999999999999,0.12004999999999999,0.11895
7,1,0.08116119260819232,0.68225,0.75105,0.8039000000000001,0.87445,0.68405,0.7524,0.8048500000000001,0.87515,-80.4928,-63.054950000000005,-49.69,-31.81275,-80.1839,-62.8255,-49.5519,-31.68175,0.7884,1568.37005,0.19185000000000002,4.2842,22.6526,0.82555,0.9653,3.98325,1.0,0.07239999999999999,0.044700000000000004,0.0649,1.60725,1.10715,0.68975,0.1231,0.07985,0.09555,1.5096,1.27175,0.84205,0.1401,0.10035,0.1032,1.39245,1.35,0.972,0.5013,-0.19290000000000002,1.0,0.8251,0.8258,0.9888,0.2252,0.53245,0.10915,0.96695,0.0963,0.06135,-0.36014999999999997,0.9,0.9,0.4545,0.8182,0.12015,0.12015,0.81475,0.1728
8,1,11.939498609481404,0.7207,0.76625,0.8042,0.86605,0.7203999999999999,0.76655,0.805,0.8675,-70.75645,-59.22365,-49.597049999999996,-33.9349,-70.9648,-59.24745,-49.4953,-33.62615,0.61985,1042.8756,0.0404,0.38475,9.55225,0.6232,0.84015,1.16465,0.8405,0.0917,0.07685,0.088,1.19805,1.0441,0.8706499999999999,0.17265,0.14229999999999998,0.16405,1.2244,1.0585,0.8644499999999999,0.20929999999999999,0.17665,0.2041,1.1883,1.0331000000000001,0.8653,0.2806,0.02205,1.0,0.86005,0.1451,0.2262,-0.4154,0.6027,0.0839,0.95325,0.07250000000000001,0.0785,-0.44315,0.9,0.9,0.8182,0.8182,0.12040000000000001,0.12040000000000001,0.1601,0.16375
9,1,18.406704727144813,0.72495,0.7676499999999999,0.8054,0.8664000000000001,0.7234499999999999,0.7677,0.80555,0.8672500000000001,-69.68815000000001,-58.8661,-49.292550000000006,-33.8553,-70.20675,-58.9529,-49.34985,-33.689099999999996,0.41785,1162.62865,0.05185,0.45940000000000003,8.8359,0.59535,0.71515,2.8238000000000003,0.8889,0.096,0.0776,0.0912,1.2436500000000001,1.047,0.8444,0.196,0.1403,0.16485,1.4026999999999998,1.1905000000000001,0.84625,0.25870000000000004,0.16695,0.1815,1.56005,1.43105,0.927,0.52675,0.39235,1.0,0.8534999999999999,0.2252,0.2657,-0.3554,0.5885,0.09095,0.9563,0.08415,0.07525000000000001,-0.43635,0.9,0.9,0.9091,0.9091,0.12095,0.12095,0.17325000000000002,0.15165
10,1,259.1224191488227,0.9923500000000001,0.99495,0.9961500000000001,0.99915,0.99115,0.9954000000000001,0.9958,0.99885,-1.94395,-1.28515,-0.97815,-0.21085,-2.2386999999999997,-1.1679,-1.06655,-0.29785,0.032850000000000004,4963.80435,0.03805,1.1391,28.13955,0.03325,0.05285,12.51355,0.0659,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.2501,0.2501,1.0,0.99975,1.0,0.4424,0.43955,0.44689999999999996,1.0077,0.99305,0.9832000000000001,-0.02525,-0.0663,1.0,0.8714,1.4264,4.223,0.8659,0.6657500000000001,0.0509,0.91075,0.051250000000000004,0.124,-0.6122,0.9,0.9,0.0909,0.9091,0.1201,0.1201,0.9215,0.11305000000000001
